n_offset_hours,model,split,label,n,n_positive,n_negative,prevalence,auroc,auprc,threshold,f1,sensitivity,specificity
10,sequence_attention,val,pneumonia,2400,205,2195,0.08541666666666667,0.5828434913050724,0.11146020264623865,0.5024304986000061,0.19117647058823528,0.3804878048780488,0.7571753986332574
10,sequence_attention,val,consolidation,2400,190,2210,0.07916666666666666,0.5747939985710884,0.0963034256963658,0.47344961762428284,0.1734375,0.5842105263157895,0.5570135746606335
10,sequence_attention,val,lung_opacity,2400,691,1709,0.28791666666666665,0.5600125834202008,0.33541878706267747,0.35432371497154236,0.4490202590501495,0.9782923299565847,0.038033937975424224
10,sequence_attention,val,pneumothorax,2400,141,2259,0.05875,0.5790486595776076,0.0818132705879004,0.5580912828445435,0.14346895074946467,0.475177304964539,0.6786188579017264
10,sequence_attention,val,pleural_effusion,2400,810,1590,0.3375,0.63488702539017,0.4664945480023626,0.40852195024490356,0.5268901013250195,0.8345679012345679,0.32075471698113206
10,sequence_attention,val,pulmonary_edema,2400,504,1896,0.21,0.6385529686558168,0.31960261574588045,0.44394123554229736,0.39725171767645223,0.6309523809523809,0.5891350210970464
10,sequence_attention,test,pneumonia,2411,213,2198,0.08834508502695977,0.5199904309081665,0.09488099815336354,0.5024304986000061,0.14781634938409854,0.30985915492957744,0.7206551410373067
10,sequence_attention,test,consolidation,2411,179,2232,0.0742430526752385,0.6018639494603633,0.10307136867017011,0.47344961762428284,0.17028112449799196,0.5921787709497207,0.5698924731182796
10,sequence_attention,test,lung_opacity,2411,719,1692,0.29821650767316465,0.5645145115523597,0.34722661638977037,0.35432371497154236,0.46138678935261257,0.9763560500695411,0.041371158392434985
10,sequence_attention,test,pneumothorax,2411,127,2284,0.052675238490253004,0.5524532178661555,0.06469852652040411,0.5580912828445435,0.12672811059907835,0.4330708661417323,0.6996497373029772
10,sequence_attention,test,pleural_effusion,2411,862,1549,0.35752799668187474,0.6083701931790437,0.4609022898253769,0.40852195024490356,0.535899333826795,0.839907192575406,0.27953518398967075
10,sequence_attention,test,pulmonary_edema,2411,526,1885,0.21816673579427623,0.6221419854565259,0.3140265060315226,0.44394123554229736,0.3882488479262673,0.6406844106463878,0.5368700265251989
