n_offset_hours,model,split,label,n,n_positive,n_negative,prevalence,auroc,auprc,threshold,f1,sensitivity,specificity
6,single_mlp,val,pneumonia,2983,248,2735,0.08313778075762655,0.5243173910479448,0.08983774635869814,0.46485501527786255,0.15966822187662,0.6209677419354839,0.4416819012797075
6,single_mlp,val,consolidation,2983,234,2749,0.07844451894066376,0.5550153435748197,0.0965009116080281,0.5669199824333191,0.16183574879227053,0.2863247863247863,0.8082939250636595
6,single_mlp,val,lung_opacity,2983,857,2126,0.2872946697955079,0.5617673500616361,0.34487230687027404,0.3402859568595886,0.4494856238459509,0.9941656942823804,0.020696142991533398
6,single_mlp,val,pneumothorax,2983,150,2833,0.05028494803888703,0.581089539945876,0.06158734201003728,0.50075364112854,0.12480252764612954,0.5266666666666666,0.6339569361101306
6,single_mlp,val,pleural_effusion,2983,948,2035,0.31780087160576603,0.6252646202013291,0.43033077167346945,0.3980432152748108,0.5074062401512764,0.8491561181434599,0.3022113022113022
6,single_mlp,val,pulmonary_edema,2983,654,2329,0.21924237344954745,0.6159663490387784,0.3068698032191313,0.4817996621131897,0.39693926351028214,0.6345565749235474,0.5611850579647918
6,single_mlp,test,pneumonia,2906,250,2656,0.08602890571231935,0.557605421686747,0.09946043672870775,0.46485501527786255,0.16970327954190526,0.652,0.4322289156626506
6,single_mlp,test,consolidation,2906,196,2710,0.06744666207845836,0.579987197831162,0.08940470666515184,0.5669199824333191,0.1352405721716515,0.2653061224489796,0.807749077490775
6,single_mlp,test,lung_opacity,2906,859,2047,0.29559532002752925,0.5629567787949429,0.3353253400851848,0.3402859568595886,0.45721997300944667,0.9860302677532014,0.02344894968246214
6,single_mlp,test,pneumothorax,2906,138,2768,0.047487955953200274,0.5238439306358381,0.053168261165784145,0.50075364112854,0.08923884514435695,0.3695652173913043,0.6553468208092486
6,single_mlp,test,pleural_effusion,2906,971,1935,0.3341362697866483,0.6253003776175764,0.454113404972714,0.3980432152748108,0.5114942528735632,0.8249227600411947,0.2971576227390181
6,single_mlp,test,pulmonary_edema,2906,636,2270,0.2188575361321404,0.627483168481423,0.3065772372447391,0.4817996621131897,0.39449090014756516,0.6305031446540881,0.5612334801762114
