n_offset_hours,model,split,label,n,n_positive,n_negative,prevalence,auroc,auprc,threshold,f1,sensitivity,specificity
6,latest_mlp,val,pneumonia,465,214,251,0.46021505376344085,0.5611293145176304,0.5436746095421983,0.18677553534507751,0.6303387334315169,1.0,0.0
6,latest_mlp,val,consolidation,268,199,69,0.7425373134328358,0.6526108804894035,0.8367404006344064,0.25760453939437866,0.8602620087336245,0.9899497487437185,0.10144927536231885
6,latest_mlp,val,lung_opacity,751,715,36,0.952063914780293,0.4589355089355089,0.9495004805609051,0.30862340331077576,0.975443383356071,1.0,0.0
6,latest_mlp,val,pneumothorax,862,136,726,0.15777262180974477,0.5862755226057366,0.20416563175668817,0.37985265254974365,0.30522088353413657,0.8382352941176471,0.3154269972451791
6,latest_mlp,val,pleural_effusion,1221,787,434,0.6445536445536445,0.6489746982942868,0.7626493408579416,0.23771549761295319,0.7854251012145749,0.9860228716645489,0.04838709677419355
6,latest_mlp,val,pulmonary_edema,924,529,395,0.5725108225108225,0.616958196740925,0.6753432755870215,0.2273000329732895,0.7281621243885394,0.9848771266540642,0.035443037974683546
6,latest_mlp,test,pneumonia,473,206,267,0.4355179704016913,0.5981509763281335,0.5303746034999229,0.18677553534507751,0.6085672082717873,1.0,0.00749063670411985
6,latest_mlp,test,consolidation,239,173,66,0.7238493723849372,0.5726484498160798,0.7886912217304667,0.25760453939437866,0.8361858190709046,0.9884393063583815,0.015151515151515152
6,latest_mlp,test,lung_opacity,774,736,38,0.9509043927648578,0.5720466247139588,0.9616367929639034,0.30862340331077576,0.9748344370860927,1.0,0.0
6,latest_mlp,test,pneumothorax,833,128,705,0.15366146458583432,0.5123947251773049,0.16830558658019112,0.37985265254974365,0.24383164005805516,0.65625,0.32340425531914896
6,latest_mlp,test,pleural_effusion,1235,832,403,0.6736842105263158,0.6468359300439015,0.7862385111819433,0.23771549761295319,0.8035363457760314,0.9831730769230769,0.04218362282878412
6,latest_mlp,test,pulmonary_edema,894,523,371,0.5850111856823266,0.6441017765019352,0.7117462098970271,0.2273000329732895,0.7366906474820144,0.9789674952198852,0.0431266846361186
