n_offset_hours,model,split,label,n,n_positive,n_negative,prevalence,auroc,auprc,threshold,f1,sensitivity,specificity
0,single_mlp,val,pneumonia,1640,724,916,0.44146341463414634,0.5901190318222393,0.5185421550419236,0.33698776364326477,0.6205949656750572,0.93646408839779,0.14519650655021835
0,single_mlp,val,consolidation,935,424,511,0.453475935828877,0.688928479119743,0.6277259797471194,0.3105432391166687,0.6569965870307167,0.9080188679245284,0.2896281800391389
0,single_mlp,val,lung_opacity,2609,2498,111,0.9574549635875814,0.6055907789294498,0.970955703201931,0.19255150854587555,0.978265126297239,1.0,0.0
0,single_mlp,val,pneumothorax,1687,214,1473,0.12685240071132187,0.6159643045218925,0.2039418849769595,0.37773197889328003,0.2731128074639525,0.7523364485981309,0.45417515274949083
0,single_mlp,val,pleural_effusion,3059,2016,1043,0.6590389016018307,0.6762130187645529,0.7868895069435673,0.2534499764442444,0.8018887292137138,0.96875,0.13518696069031638
0,single_mlp,val,pulmonary_edema,2543,1563,980,0.6146283916633897,0.6600078995129722,0.740808336689867,0.26246052980422974,0.7734015345268542,0.9673704414587332,0.14795918367346939
0,single_mlp,test,pneumonia,1753,769,984,0.43867655447803766,0.5826012031251652,0.5124513200556591,0.33698776364326477,0.6055674518201285,0.9193758127438232,0.12703252032520326
0,single_mlp,test,consolidation,884,383,501,0.4332579185520362,0.6843962206136031,0.619692171060149,0.3105432391166687,0.6210045662100456,0.8877284595300261,0.25748502994011974
0,single_mlp,test,lung_opacity,2492,2385,107,0.9570626003210273,0.5594329826211328,0.964105232283091,0.19255150854587555,0.9780602829608366,1.0,0.0
0,single_mlp,test,pneumothorax,1715,212,1503,0.12361516034985423,0.5569003502429104,0.16169410906550802,0.37773197889328003,0.2327150084317032,0.6509433962264151,0.44377910844976715
0,single_mlp,test,pleural_effusion,3122,2092,1030,0.6700832799487508,0.6749628728953572,0.7897447120370189,0.2534499764442444,0.8036711891460495,0.9627151051625239,0.1203883495145631
0,single_mlp,test,pulmonary_edema,2466,1505,961,0.6103000811030008,0.6735436163188263,0.7405419629624844,0.26246052980422974,0.766869542206933,0.9627906976744186,0.14151925078043703
