n_offset_hours,model,split,best_val_macro_auroc_difference_all_minus_explicit,macro_auroc_difference_all_minus_explicit,macro_auprc_difference_all_minus_explicit,micro_auroc_difference_all_minus_explicit,micro_auprc_difference_all_minus_explicit,pneumonia_auroc_difference_all_minus_explicit,pneumonia_auprc_difference_all_minus_explicit,pneumonia_prevalence_difference_all_minus_explicit,consolidation_auroc_difference_all_minus_explicit,consolidation_auprc_difference_all_minus_explicit,consolidation_prevalence_difference_all_minus_explicit,lung_opacity_auroc_difference_all_minus_explicit,lung_opacity_auprc_difference_all_minus_explicit,lung_opacity_prevalence_difference_all_minus_explicit,pneumothorax_auroc_difference_all_minus_explicit,pneumothorax_auprc_difference_all_minus_explicit,pneumothorax_prevalence_difference_all_minus_explicit,pleural_effusion_auroc_difference_all_minus_explicit,pleural_effusion_auprc_difference_all_minus_explicit,pleural_effusion_prevalence_difference_all_minus_explicit,pulmonary_edema_auroc_difference_all_minus_explicit,pulmonary_edema_auprc_difference_all_minus_explicit,pulmonary_edema_prevalence_difference_all_minus_explicit
0,single_mlp,val,0.041936655525450894,0.041936655525450894,-0.45831503147037533,0.029344285116734703,-0.5292525902384797,0.011074900593601167,-0.4369039584707798,-0.3832500191207589,-0.028912168173582442,-0.5706899427484338,-0.4193841130420313,0.03904049103269169,-0.6773834970555255,-0.7566026680179103,0.06585165298429496,-0.1645001986558398,-0.10964567883305541,0.0771580550592127,-0.4317307460264702,-0.49694193287946997,0.08740700165648685,-0.46868184586520323,-0.4889549977581071
0,single_mlp,test,0.041936655525450894,0.05010215998341483,-0.45183430048899875,0.031266465583435044,-0.5281105141181447,0.016006935543557255,-0.42991127083568614,-0.3772351994125215,-0.014724636803271185,-0.5626468234317743,-0.4026570876156348,0.0807864116576309,-0.6941157935947705,-0.7665065121139323,0.051327224161486384,-0.1266719847277251,-0.10667684139811251,0.07978211550470204,-0.4324687957337545,-0.5029372268966575,0.08743490983638358,-0.46519113461028194,-0.4900539960918152
0,sequence_attention,val,0.056321607732450873,0.056321607732450873,-0.46425082726572986,0.05015187709193891,-0.532233439799703,0.020302306042971008,-0.4295184303278417,-0.3799215717831742,-0.04107792190585613,-0.6069983050787243,-0.40660461790215807,0.05094174778441363,-0.6741816992642027,-0.7591938576686053,0.15617572411808078,-0.1488619258232881,-0.11722010290615578,0.06532750287285372,-0.44661321163354983,-0.5043398252010829,0.08626028748224224,-0.4793313914667728,-0.4902760426357621
0,sequence_attention,test,0.056321607732450873,0.07109406486726988,-0.45598085772086416,0.05836954231388913,-0.5208695492236934,0.022543873203633047,-0.437799325740032,-0.380247018859597,-0.035008208708304345,-0.5871639153109529,-0.396948784744527,0.12436289123628885,-0.6765042723293209,-0.7666010382612837,0.13593763893920363,-0.1364219667436748,-0.1106132583344849,0.08350777232005269,-0.4318540085175316,-0.5098514487291815,0.09522042221274485,-0.4661416576836731,-0.49377640711495174
0,latest_mlp,val,0.04608010265275675,0.04608010265275675,-0.4555369100427518,0.04080754616598192,-0.5170371146832683,0.012462784064000143,-0.42815146525299036,-0.3799215717831742,-0.024598746775701175,-0.5588092534471802,-0.40660461790215807,0.0372913577591929,-0.680377625103811,-0.7591938576686053,0.09338363384579818,-0.1554212478659104,-0.11722010290615578,0.07757470596019178,-0.436069598861902,-0.5043398252010829,0.08036688106305878,-0.474392269724716,-0.4902760426357621
0,latest_mlp,test,0.04608010265275675,0.05915890706376592,-0.4535449357872951,0.043165856418242776,-0.5179792294658587,0.022791059087393317,-0.43373203469394866,-0.380247018859597,-0.0023586224495872887,-0.544877932804389,-0.396948784744527,0.08716927426240961,-0.6893689645599226,-0.7666010382612837,0.08047394743050995,-0.1370688112656461,-0.1106132583344849,0.07642059024645975,-0.4422907434886507,-0.5098514487291815,0.09045719380540995,-0.47393112791121317,-0.49377640711495174
2,single_mlp,val,0.04977068702216392,0.04977068702216392,-0.4509779389646902,0.034018146410950134,-0.4779690027636538,0.03583507407543485,-0.39616650933717257,-0.3527288783791674,-0.06246831388282792,-0.6724817143094884,-0.5288728477759839,0.11986677766299092,-0.6700809535842189,-0.7480193999693079,0.07454784872113052,-0.1529292904099248,-0.11442016047366871,0.05158574482194256,-0.4019076133258321,-0.43066347197929733,0.07925699073431292,-0.41230155282150455,-0.43850170782974246
2,single_mlp,test,0.04977068702216392,0.03302376879921276,-0.44604223767168805,0.025987252195906252,-0.48330325321135803,-0.018594787143679126,-0.43311315282495433,-0.35399251403618215,-0.03908591721950816,-0.6623252144544702,-0.5062875017695935,0.047733289872811446,-0.6599092187010149,-0.7368963686569991,0.04932313371585639,-0.11822154707914731,-0.1113663407460626,0.06765605574737987,-0.37789377168030813,-0.4418898227186393,0.09111083782241614,-0.4247905212902344,-0.4369152753761939
2,sequence_attention,val,0.06016984420984983,0.06016984420984983,-0.45531933372200095,0.038603658533491236,-0.48216755824814445,0.05133269414674102,-0.4005392622310759,-0.346457977130246,-0.0646589852999695,-0.7104626907415548,-0.5032769550047784,0.0626708469305225,-0.6729255257266455,-0.7522776461513246,0.15189658780100102,-0.1633325224726137,-0.12138498921401059,0.07018928813925007,-0.3705466698516261,-0.43909499088781956,0.089588633541554,-0.4141093313084891,-0.44376211266537
2,sequence_attention,test,0.06016984420984983,0.06388247898307009,-0.4404395983214736,0.044891543397340805,-0.47277507930111395,-0.006235617239851221,-0.4388760084486017,-0.3512093814260354,-0.021637297735606964,-0.6623364983590727,-0.5160942471712199,0.060421228271164584,-0.6486032679711407,-0.7413613063172217,0.137699327600725,-0.1174109735928495,-0.1192433873282756,0.1009973649716226,-0.3568058606182763,-0.45305314123921364,0.1120498680303662,-0.4186049809389012,-0.44041949160287464
2,latest_mlp,val,0.05158123302162376,0.05158123302162376,-0.45139999554146504,0.011773776669959601,-0.48893431681573324,0.0035013359983879777,-0.41474577600763396,-0.346457977130246,-0.04079166007343982,-0.646271605639358,-0.5032769550047784,0.10782206724069199,-0.6770345144986674,-0.7522776461513246,0.0969333939479381,-0.16477785259590538,-0.12138498921401059,0.05477554818534758,-0.39132941338854355,-0.43909499088781956,0.08724671283081586,-0.41424081111868183,-0.44376211266537
2,latest_mlp,test,0.05158123302162376,0.05345137121409338,-0.4434303235206204,0.011760704990547044,-0.4914157314951547,0.000560488257806746,-0.4270253802651115,-0.3512093814260354,-0.030524606565247026,-0.641010104532029,-0.5160942471712199,0.09972811664163772,-0.6582714051190219,-0.7413613063172217,0.07642429763104719,-0.1313438397052148,-0.1192433873282756,0.0882775432674423,-0.3710493203801197,-0.45305314123921364,0.08624238805187368,-0.43188189112222575,-0.44041949160287464
4,single_mlp,val,0.013180438451358412,0.013180438451358412,-0.4301091851512398,0.021195046676068974,-0.4318903055055021,-0.017281166360912592,-0.3898242870346225,-0.3575471313978583,-0.04882925876768329,-0.685567535774404,-0.6356632363665831,0.05937384378865884,-0.6351893969434523,-0.7026770882013341,0.031143678366264527,-0.1267472412273979,-0.1058515355013312,0.010436027747393495,-0.35665216022859925,-0.36427457389749934,0.04423950593442927,-0.3866744896989627,-0.38810410656974004
4,single_mlp,test,0.013180438451358412,0.006138408121409977,-0.4349408396815948,0.012889361973649538,-0.4375208099224299,-0.03340315703720165,-0.44444374188323776,-0.3637936809199509,-0.017942625500764975,-0.7174903843536548,-0.6386032169347445,0.038654609421181374,-0.6175507060220108,-0.6809233234714005,-0.0007282875721636994,-0.0994873399778868,-0.09717159763313611,0.018121677298271632,-0.3290541032410109,-0.3574599870586493,0.03212823211913718,-0.4016187626117681,-0.3871691061974463
4,sequence_attention,val,0.01688947768360216,0.01688947768360216,-0.43468262097048577,0.01289876373334975,-0.44341039071012645,0.007238692638506183,-0.4109866883326827,-0.3611014809548154,-0.037182582725048485,-0.6984568138225018,-0.628718424950263,0.043065361789097256,-0.6365066662111587,-0.7037417184188296,-0.0008023577744951105,-0.151455900854556,-0.1095557849920093,0.0319984402283473,-0.3430507671107713,-0.3685774668892841,0.05701931194520615,-0.3676388894912442,-0.39107376569144203
4,sequence_attention,test,0.01688947768360216,0.004183955537529371,-0.4397247118749977,0.01058920357363502,-0.4463735804689037,-0.07543084334930616,-0.47204995916345893,-0.3554349566305819,-0.03475192838734864,-0.7204434795876127,-0.6445835964597618,0.011365438801906658,-0.6201415817291214,-0.681920194758264,0.04087321589570081,-0.1132551525061732,-0.1050993817588658,0.032954843286392754,-0.32796401366300215,-0.3641671149801927,0.050093006977831034,-0.3844940846006174,-0.391164591630229
4,latest_mlp,val,0.02307302252167942,0.02307302252167942,-0.43682524399047107,0.004860303138579769,-0.4552539662777042,0.007572499730570614,-0.41182752649501053,-0.3611014809548154,-0.0418179020101338,-0.6837581549959924,-0.628718424950263,0.11193058994615429,-0.6285463117576306,-0.7037417184188296,0.0004137801767870597,-0.1499138371857137,-0.1095557849920093,0.01783873676678971,-0.3548175788731932,-0.3685774668892841,0.042500430519909704,-0.3920880546352862,-0.39107376569144203
