n_offset_hours,model,best_epoch,best_val_macro_auroc,train_examples,val_examples,test_examples,train_patients,val_patients,test_patients,split,macro_auroc,macro_auprc,micro_auroc,micro_auprc,pneumonia_auroc,pneumonia_auprc,pneumonia_prevalence,consolidation_auroc,consolidation_auprc,consolidation_prevalence,lung_opacity_auroc,lung_opacity_auprc,lung_opacity_prevalence,pneumothorax_auroc,pneumothorax_auprc,pneumothorax_prevalence,pleural_effusion_auroc,pleural_effusion_auprc,pleural_effusion_prevalence,pulmonary_edema_auroc,pulmonary_edema_auprc,pulmonary_edema_prevalence
0,single_mlp,11,0.6877840426347408,57414,12437,12516,26719,5719,5730,val,0.6877840426347408,0.19403103603814173,0.7147937025632267,0.21277351293306068,0.6167615064852321,0.0950520838638679,0.06385605926971247,0.6613818859946548,0.057956403782381746,0.034615070618009634,0.6452548719303312,0.297908608724758,0.20378528308043725,0.6825572655210367,0.03933717395866396,0.01725945640777482,0.7579677002675369,0.36771421403159965,0.1664190193164933,0.7627810256096534,0.30621773186757917,0.13470654141170388
0,single_mlp,11,0.6877840426347408,57414,12437,12516,26719,5719,5730,test,0.6784916908602584,0.1911267784706808,0.7142241260716564,0.20839076280668248,0.6123664918390129,0.09499560297727835,0.06723203357230285,0.6714654079842484,0.058292712788870854,0.03112050052815471,0.6426876856986051,0.2752492536361206,0.19303925536220154,0.6086274461553605,0.034396604142948706,0.016987179487179486,0.7608916837483309,0.37524031693941573,0.17191223600953243,0.7749114297359923,0.30858618033945046,0.12843488649940263
0,sequence_attention,7,0.7118408115869211,51101,11065,11161,26719,5719,5730,val,0.7118408115869211,0.1984665245953384,0.734487115781995,0.21005923242643698,0.6184573462019141,0.0897234634543313,0.06343691055296337,0.6948795460472497,0.06882132435098873,0.0332384537691672,0.6533834046300944,0.29857143955279947,0.19981659789087575,0.7615630395011467,0.05183209459903768,0.017857142857142856,0.7657660219588637,0.37683810303807397,0.1632501623226046,0.7769955111822582,0.3050127225767991,0.12847054271065106
0,sequence_attention,7,0.7118408115869211,51101,11065,11161,26719,5719,5730,test,0.7084790884208091,0.19895274926172105,0.7343608459502562,0.2084410750073567,0.6312164954146171,0.10292139068670869,0.06750515869116636,0.6851620328999811,0.06019341389397099,0.031241460970944532,0.6548811827984267,0.2909183461807186,0.19310344827586207,0.7288736160101424,0.047641192406730544,0.016891284815813118,0.7662910924406652,0.37792704947360234,0.16731194690265486,0.7844501109610219,0.3141151029285951,0.12237294612151318
0,latest_mlp,8,0.6906616021550559,51101,11065,11161,26719,5719,5730,val,0.6906616021550559,0.19348199739257288,0.7163733801116896,0.21410805068478483,0.6070934120019389,0.0863039161419113,0.06343691055296337,0.6691325825174248,0.061161689294358584,0.0332384537691672,0.6518065363995306,0.29639341041769174,0.19981659789087575,0.6877059913468994,0.0372321851275053,0.017857142857142856,0.759065809827574,0.36881779039134366,0.1632501623226046,0.7691652808369677,0.3109829929826267,0.12847054271065106
0,latest_mlp,8,0.6906616021550559,51101,11065,11161,26719,5719,5730,test,0.6854044069240594,0.1907222861951611,0.7150501782891985,0.20855685258128676,0.6252521998947793,0.1014659436918059,0.06750515869116636,0.6696275754163482,0.05315046720992276,0.031241460970944532,0.6489183379332271,0.28226657172801606,0.19310344827586207,0.6350493608465526,0.03917231927070976,0.016891284815813118,0.7573111325202144,0.36619996579103764,0.16731194690265486,0.7762678349332336,0.3020784494794745,0.12237294612151318
2,single_mlp,12,0.6586174213638128,25395,5536,5496,14217,3056,3039,val,0.6586174213638128,0.19717637395916734,0.6919160598967217,0.22192557655034484,0.6182973261323179,0.08873263901755529,0.06343646623856782,0.6361342233113451,0.07486716415754699,0.049715648504861494,0.6309235680132317,0.2994180095339051,0.2195568577183666,0.6360295227620711,0.04808414881543555,0.031613372093023256,0.7201218888467527,0.3782459892113451,0.20919881305637983,0.7101979991171585,0.29371029301921614,0.16143497757847533
2,single_mlp,12,0.6586174213638128,25395,5536,5496,14217,3056,3039,test,0.6574786539116727,0.20214779586271292,0.6951193194992952,0.22629621875140532,0.599950308089843,0.0911108896394147,0.06908088958866365,0.6397010010537407,0.072446627870753,0.040413360398597525,0.6385179054630747,0.30732301638793236,0.22033898305084745,0.6145701032163092,0.05191213395486405,0.030131482834185538,0.7238159116179905,0.40753946443320843,0.21948027668723125,0.7283166940290781,0.2825546428901051,0.1508662643566284
2,sequence_attention,6,0.7032292617102592,22445,4851,4877,14217,3056,3039,val,0.7032292617102592,0.21186657835603215,0.7123383180040735,0.2271130671433742,0.64265594012838,0.09452930407620491,0.060848323339995555,0.7068012360446572,0.09062629890368908,0.04602510460251046,0.6545204200003301,0.3157137224987613,0.21183605186114596,0.7321180355249349,0.06556048777951215,0.03234501347708895,0.749499880214976,0.4146937316454439,0.20300592718035562,0.7337800583482773,0.2900759252325814,0.1521208083499889
2,sequence_attention,6,0.7032292617102592,22445,4851,4877,14217,3056,3039,test,0.682323461471,0.20555991611404745,0.7037801663595644,0.2200850828921433,0.6097303689687795,0.08959165577076988,0.0670812972012439,0.6660158454525722,0.07109163746499621,0.04160599126274184,0.6580911251654848,0.32261810691327875,0.21873701703365184,0.6740725007080147,0.05554627179184833,0.03087690407575134,0.7448336041164327,0.41322215050068595,0.21302149178255372,0.7411973244147158,0.28128967424270557,0.1425438596491228
