n_offset_hours,model,split,label,n,n_positive,n_negative,prevalence,auroc,auprc,threshold,f1,sensitivity,specificity
2,latest_mlp,val,pneumonia,4503,274,4229,0.060848323339995555,0.6256133786006597,0.08583206713999647,0.5739494562149048,0.1631321370309951,0.36496350364963503,0.7985339323717191
2,latest_mlp,val,consolidation,4780,220,4560,0.04602510460251046,0.6576729465709729,0.07402785357282798,0.5461142063140869,0.14192708333333334,0.4954545454545455,0.7353070175438596
2,latest_mlp,val,lung_opacity,4782,1013,3769,0.21183605186114596,0.6319520418690743,0.30039554749493735,0.45351898670196533,0.39673635900050996,0.7680157946692991,0.4345980366144866
2,latest_mlp,val,pneumothorax,4823,156,4667,0.03234501347708895,0.6333641003664574,0.047377796516705796,0.42189544439315796,0.09128978224455611,0.6987179487179487,0.5451039211484894
2,latest_mlp,val,pleural_effusion,4724,959,3765,0.20300592718035562,0.7319276249191624,0.3911191496735917,0.5735158920288086,0.46197641317608784,0.5922836287799792,0.752456839309429
2,latest_mlp,val,pulmonary_edema,4503,685,3818,0.1521208083499889,0.725549930601492,0.2983906216894213,0.5711727142333984,0.378,0.5518248175182482,0.7545835515976951
2,latest_mlp,test,pneumonia,4502,302,4200,0.0670812972012439,0.6089557710501419,0.09116111969624985,0.5739494562149048,0.16601409553641347,0.3509933774834437,0.7930952380952381
2,latest_mlp,test,consolidation,4807,200,4607,0.04160599126274184,0.6528272194486651,0.07357268514221707,0.5461142063140869,0.11741160773849232,0.44,0.7371391360972434
2,latest_mlp,test,lung_opacity,4814,1053,3761,0.21873701703365184,0.6399771180857771,0.3070618603814263,0.45351898670196533,0.40720081135902636,0.7625830959164293,0.44482850305769744
2,latest_mlp,test,pneumothorax,4858,150,4708,0.03087690407575134,0.616796233361654,0.05671141424300002,0.42189544439315796,0.07632933104631218,0.5933333333333334,0.5554375531011045
2,latest_mlp,test,pleural_effusion,4746,1011,3735,0.21302149178255372,0.7214183473094488,0.39328125512645185,0.5735158920288086,0.4477732793522267,0.5469831849653808,0.757429718875502
2,latest_mlp,test,pulmonary_edema,4560,650,3910,0.1425438596491228,0.7253053314971474,0.26540960908906375,0.5711727142333984,0.36860407352210633,0.5707692307692308,0.7462915601023018
