n_offset_hours,model,split,label,n,n_positive,n_negative,prevalence,auroc,auprc,threshold,f1,sensitivity,specificity
8,sequence_attention,val,pneumonia,2234,208,2026,0.09310653536257833,0.5574858569367453,0.11648119815319406,0.5072457194328308,0.18815896188158962,0.5576923076923077,0.5513326752221125
8,sequence_attention,val,consolidation,2358,192,2166,0.08142493638676845,0.557036780547861,0.0967955236408611,0.4558803141117096,0.1697981906750174,0.6354166666666666,0.48153277931671284
8,sequence_attention,val,lung_opacity,2363,685,1678,0.2898857384680491,0.569666704366512,0.3394146769821086,0.41538816690444946,0.46148255813953487,0.927007299270073,0.1466030989272944
8,sequence_attention,val,pneumothorax,2380,130,2250,0.0546218487394958,0.5675350427350427,0.0727198111132187,0.6256197690963745,0.13953488372093023,0.25384615384615383,0.8622222222222222
8,sequence_attention,val,pleural_effusion,2339,779,1560,0.33304831124412143,0.6316517724893848,0.44932499247304564,0.3906386196613312,0.5268686868686868,0.8369704749679076,0.33076923076923076
8,sequence_attention,val,pulmonary_edema,2226,519,1707,0.23315363881401618,0.6467114330316175,0.3542010044142781,0.49039945006370544,0.4325767690253672,0.6242774566473989,0.6162858816637375
8,sequence_attention,test,pneumonia,2184,209,1975,0.09569597069597069,0.5421718854097268,0.10895576509064839,0.5072457194328308,0.1761904761904762,0.5311004784688995,0.5240506329113924
8,sequence_attention,test,consolidation,2342,175,2167,0.07472245943637916,0.6018801503065463,0.09562847645483172,0.4558803141117096,0.17050067658998647,0.72,0.45685279187817257
8,sequence_attention,test,lung_opacity,2344,719,1625,0.306740614334471,0.5453073713490959,0.3415553241575032,0.41538816690444946,0.46153846153846156,0.8970792767732962,0.11938461538461538
8,sequence_attention,test,pneumothorax,2377,126,2251,0.05300799326882625,0.4954729115102282,0.05589290898668365,0.6256197690963745,0.08501118568232663,0.15079365079365079,0.8658374055975122
8,sequence_attention,test,pleural_effusion,2302,835,1467,0.3627280625543006,0.6315532534113777,0.4863411238241032,0.3906386196613312,0.5421734013338564,0.8275449101796407,0.30265848670756645
8,sequence_attention,test,pulmonary_edema,2195,522,1673,0.2378132118451025,0.6380913448436172,0.35038904389521713,0.49039945006370544,0.4178712220762155,0.6091954022988506,0.5923490735206216
