num_cxr_studies,num_patients
1,32695
2,10945
3,5670
4,3573
5,2416
6,1753
7,1247
8,1065
9,816
10,716
11,574
12,502
13,394
14,363
15,316
16,266
17,208
18,191
19,183
20,159
21,123
22,117
23,82
24,84
25,87
26,85
27,69
28,67
29,42
30,49
31,41
32,41
33,37
34,39
35,30
36,25
37,29
38,20
39,28
40,26
41,14
42,16
43,17
44,11
45,12
46,9
47,8
48,7
49,4
50,4
51,5
52,6
53,6
54,5
55,2
56,8
57,5
58,3
59,4
60,4
61,2
62,2
63,1
64,6
65,5
66,3
67,3
68,1
69,3
70,1
71,4
72,1
73,1
74,1
75,3
76,2
77,1
78,1
80,2
84,1
85,1
88,1
89,1
95,2
96,1
104,1
108,1
124,1
127,1
131,1
158,1
