experiment,metric,value
Exp3_seq_target,num_pairs,16081
Exp3_seq_target,ecgs_per_sample_min,1
Exp3_seq_target,ecgs_per_sample_median,1.0
Exp3_seq_target,ecgs_per_sample_mean,1.1713201915303775
Exp3_seq_target,ecgs_per_sample_max,11
Exp3_seq_target,ecg_distance_to_cxr_t2_hours_min,12.001666666474193
Exp3_seq_target,ecg_distance_to_cxr_t2_hours_median,18.233055555610918
Exp3_seq_target,ecg_distance_to_cxr_t2_hours_mean,18.150792822845602
Exp3_seq_target,ecg_distance_to_cxr_t2_hours_max,24.0
Exp3_seq_target,ecgs_within_12_24h_before_t2,1.0
Exp3_seq_target,adjacent_ecg_gap_hours_min,0.0
Exp3_seq_target,adjacent_ecg_gap_hours_median,1.9000000001396984
Exp3_seq_target,adjacent_ecg_gap_hours_mean,2.774264972776296
Exp3_seq_target,adjacent_ecg_gap_hours_max,11.833333333255723
Exp3_seq_target,adjacent_ecg_gap_lt_10min,0.2058076225045372
Exp3_seq_target,adjacent_ecg_gap_lt_30min,0.2943738656987296
Exp3_seq_target,adjacent_ecg_gap_lt_1hour,0.3687840290381125
Exp4_patient_temporal,num_pairs,30493
Exp4_patient_temporal,cxr_interval_t2_minus_t1_hours_min,3.0
Exp4_patient_temporal,cxr_interval_t2_minus_t1_hours_median,28.012499999953434
Exp4_patient_temporal,cxr_interval_t2_minus_t1_hours_mean,28.37435599062822
Exp4_patient_temporal,cxr_interval_t2_minus_t1_hours_max,48.0
Exp4_patient_temporal,cxr_interval_within_3_48h,1.0
Exp4_patient_temporal,ecgs_per_sample_min,1
Exp4_patient_temporal,ecgs_per_sample_median,1.0
Exp4_patient_temporal,ecgs_per_sample_mean,1.389532023743154
Exp4_patient_temporal,ecgs_per_sample_max,12
Exp4_patient_temporal,ecg_after_t1_hours_min,0.0002777774352580309
Exp4_patient_temporal,ecg_after_t1_hours_median,9.140277777798474
Exp4_patient_temporal,ecg_after_t1_hours_mean,12.662336608634158
Exp4_patient_temporal,ecg_after_t1_hours_max,47.922499999869615
Exp4_patient_temporal,ecg_before_t2_hours_min,0.00027777766808867455
Exp4_patient_temporal,ecg_before_t2_hours_median,15.317500000121072
Exp4_patient_temporal,ecg_before_t2_hours_mean,16.630709932632804
Exp4_patient_temporal,ecg_before_t2_hours_max,47.95999999996275
Exp4_patient_temporal,ecg_inside_t1_t2,1.0
Exp4_patient_temporal,ecg_relative_position_min,1.4668779326049589e-05
Exp4_patient_temporal,ecg_relative_position_median,0.3840376427415178
Exp4_patient_temporal,ecg_relative_position_mean,0.43193356500161634
Exp4_patient_temporal,ecg_relative_position_max,0.9999926801088825
Exp4_patient_temporal,adjacent_ecg_gap_hours_min,0.0
Exp4_patient_temporal,adjacent_ecg_gap_hours_median,7.375
Exp4_patient_temporal,adjacent_ecg_gap_hours_mean,9.846295672673053
Exp4_patient_temporal,adjacent_ecg_gap_hours_max,47.36666666669771
Exp4_patient_temporal,adjacent_ecg_gap_lt_10min,0.09243980468092271
Exp4_patient_temporal,adjacent_ecg_gap_lt_30min,0.12493685805691193
Exp4_patient_temporal,adjacent_ecg_gap_lt_1hour,0.1624852668799461
