case,n,target_window,epochs_ran,best_epoch,first_train_loss,best_epoch_train_loss,last_train_loss,first_train_batch_R@1,best_epoch_train_batch_R@1,last_train_batch_R@1,first_train_batch_R@5,best_epoch_train_batch_R@5,last_train_batch_R@5,first_val_R@1,best_val_R@1,last_val_R@1,first_val_R@5,best_val_R@5,last_val_R@5,first_val_R@10,best_val_R@10,last_val_R@10,first_val_MRR,best_val_MRR,last_val_MRR,best_val_MedR,last_val_MedR,val_MRR_gain_first_to_best,val_MRR_drop_best_to_last,train_R@1_gain_first_to_last,result_path
case1,0,"[t2-0-12h, t2-0]",48,41,6.487131996154785,5.374993777275085,5.332221894264221,0.003919270833333334,0.03919270833333333,0.04243489583333333,0.017513020833333334,0.13467447916666667,0.1433203125,0.0010602724084495556,0.004404208465867384,0.004241089633798222,0.0035886143055215724,0.015904086126743332,0.016148764374847076,0.007095669195008564,0.028627355028138,0.02879047386020716,0.00428555976991215,0.01513710703499357,0.015061890603548797,734.0,720.0,0.010851547265081418,7.521643144477175e-05,0.038515625,7.16/cross_patient_huge_batch_mild_antioverfit/case1_all_ecg_n0/case1_all_ecg_cross_n0/results.json
case1,2,"[t2-2-12h, t2-2]",32,25,6.471499781608582,5.425659823417663,5.3355452251434325,0.0037630208333333335,0.037369791666666666,0.040716145833333335,0.01796875,0.12954427083333334,0.1418359375,0.0009018759018759019,0.006313131313131313,0.00487012987012987,0.004148629148629149,0.022907647907647908,0.022546897546897548,0.010461760461760462,0.04040404040404041,0.04329004329004329,0.006184264326054293,0.021055857640851227,0.02034607465612553,418.0,400.5,0.014871593314796934,0.0007097829847256959,0.036953125,7.16/cross_patient_huge_batch_mild_antioverfit/case1_all_ecg_n2/case1_all_ecg_cross_n2/results.json
case1,4,"[t2-4-12h, t2-4]",42,35,6.4923644495010375,5.2037278747558595,5.100866360664368,0.0037890625,0.06291666666666666,0.07540364583333334,0.01796875,0.187421875,0.208671875,0.0014289797084881394,0.009145470134324093,0.007716490425835953,0.008573878250928837,0.029722777936553302,0.02886539011146042,0.019434124035438698,0.05401543298085167,0.04744212632180623,0.010271786520675782,0.02677923013828499,0.0248473030460892,327.0,330.0,0.016507443617609207,0.0019319270921957891,0.07161458333333334,7.16/cross_patient_huge_batch_mild_antioverfit/case1_all_ecg_n4/case1_all_ecg_cross_n4/results.json
case1,6,"[t2-6-12h, t2-6]",31,24,6.508799395561218,5.3597064781188966,5.210489192008972,0.004283854166666667,0.05421875,0.06677083333333333,0.0182421875,0.1613671875,0.19018229166666667,0.0010334137099552187,0.006200482259731312,0.005511539786427834,0.00826730967964175,0.029624526352049603,0.027902170168790905,0.01584567688598002,0.049948329314502236,0.0478815018945918,0.00962119262314957,0.024502922458149803,0.02374457055196937,307.0,308.0,0.014881729835000232,0.0007583519061804336,0.062486979166666665,7.16/cross_patient_huge_batch_mild_antioverfit/case1_all_ecg_n6/case1_all_ecg_cross_n6/results.json
case1,8,"[t2-8-12h, t2-8]",38,31,6.50649733543396,5.198954086303711,5.0584330558776855,0.004140625,0.06983072916666666,0.08364583333333334,0.0189453125,0.19919270833333333,0.22994791666666667,0.0020927799093128706,0.007324729682595047,0.007324729682595047,0.011510289501220789,0.03139169863969306,0.029298918730380187,0.021974189047785142,0.05231949773282177,0.05406348099058249,0.01176513998475023,0.026366534723374586,0.026324120235804726,319.0,306.0,0.014601394738624356,4.241448756986052e-05,0.07950520833333334,7.16/cross_patient_huge_batch_mild_antioverfit/case1_all_ecg_n8/case1_all_ecg_cross_n8/results.json
case1,10,"[t2-10-12h, t2-10]",30,23,6.510398597717285,5.369168558120728,5.198485336303711,0.004075520833333333,0.053098958333333335,0.06783854166666667,0.019049479166666668,0.16145833333333334,0.1920703125,0.003848845346396081,0.008397480755773267,0.006298110566829951,0.013995801259622114,0.03184044786564031,0.030440867739678096,0.02309307207837649,0.050734779566130164,0.04933519944016795,0.013391823162633203,0.02575746211877781,0.02391851143757021,313.0,317.5,0.012365638956144606,0.0018389506812075997,0.06376302083333334,7.16/cross_patient_huge_batch_mild_antioverfit/case1_all_ecg_n10/case1_all_ecg_cross_n10/results.json
case1,12,"[t2-12-12h, t2-12]",48,41,6.512713665962219,4.976781177520752,4.85175253868103,0.003997395833333334,0.093359375,0.1113671875,0.0189453125,0.2467578125,0.27763020833333335,0.0007412898443291327,0.010748702742772424,0.009636767976278725,0.010378057820607857,0.031134173461823574,0.03372868791697554,0.01704966641957005,0.05374351371386212,0.054484803558191255,0.009656905607702031,0.029079696843697152,0.028386143952120805,301.0,301.5,0.01942279123599512,0.0006935528915763475,0.10736979166666667,7.16/cross_patient_huge_batch_mild_antioverfit/case1_all_ecg_n12/case1_all_ecg_cross_n12/results.json
case2,0,"[t2-0-12h, t2-0]",60,55,6.51725311756134,4.818737206459045,4.712183537483216,0.0025520833333333333,0.07364583333333333,0.08373697916666667,0.0123828125,0.22578125,0.24514322916666667,9.136592051164915e-05,0.005025125628140704,0.00429419826404751,0.0010050251256281408,0.019004111466423026,0.01745089081772499,0.0025582457743261763,0.030698949291914118,0.03060758337140247,0.0019300320865600433,0.016798275609888568,0.0157773400723649,682.0,661.0,0.014868243523328524,0.0010209355375236685,0.08118489583333334,7.16/cross_patient_huge_batch_mild_antioverfit/case2_sequence_ecg_n0/case2_sequence_ecg_cross_n0/results.json
case2,2,"[t2-2-12h, t2-2]",38,31,6.445592722892761,4.884642825126648,4.601963849067688,0.0027083333333333334,0.0647265625,0.090625,0.01296875,0.20587239583333333,0.2647395833333333,0.0002043318348998774,0.007764609726195341,0.006129955046996322,0.0038823048630976706,0.023906824683285657,0.025337147527584796,0.006129955046996322,0.0406620351450756,0.041888026154474865,0.003929913734613377,0.022832301936418126,0.021842502998550475,391.0,408.0,0.01890238820180475,0.0009897989378676517,0.08791666666666667,7.16/cross_patient_huge_batch_mild_antioverfit/case2_sequence_ecg_n2/case2_sequence_ecg_cross_n2/results.json
case2,4,"[t2-4-12h, t2-4]",22,15,6.524913167953491,5.327694268226623,4.868683962821961,0.0024609375,0.042942708333333336,0.0797265625,0.011861979166666667,0.14454427083333332,0.23141927083333333,0.0006657789613848203,0.007656458055925432,0.006657789613848202,0.003328894806924101,0.02796271637816245,0.02862849533954727,0.008655126498002663,0.042942743009320904,0.048934753661784285,0.005766217752215023,0.023860756550539024,0.02372243404637129,354.0,372.5,0.018094538798324,0.0001383225041677351,0.077265625,7.16/cross_patient_huge_batch_mild_antioverfit/case2_sequence_ecg_n4/case2_sequence_ecg_cross_n4/results.json
case2,6,"[t2-6-12h, t2-6]",18,11,6.584590716361999,5.527497177124023,4.937004990577698,0.0022005208333333334,0.034140625,0.07802083333333333,0.010963541666666667,0.1216796875,0.22390625,0.0011909487892020642,0.006351726875744343,0.003572846367606193,0.006748709805478364,0.02500992457324335,0.01945216355696705,0.010321556173084558,0.03850734418420008,0.04406510520047638,0.007310802493887834,0.02198082835831046,0.019502988463754343,362.0,386.0,0.014670025864422623,0.0024778398945561157,0.0758203125,7.16/cross_patient_huge_batch_mild_antioverfit/case2_sequence_ecg_n6/case2_sequence_ecg_cross_n6/results.json
